id,type,sub_type,start_date,end_date,listing_type,tom,building_age,total_floor_count,floor_no,room_count,size,address,furnished,heating_type,price,price_currency
6705,Konut,Daire,1/31/19,,1,27,2,10,8,2+1,105,Mersin/Mezitli/Deniz,,Kalorifer (Doğalgaz),238000,TRY
6706,Konut,Prefabrik Ev,1/6/19,,1,52,,2,,5+2,250,Ankara/Çankaya/Kültür,,Kalorifer (Doğalgaz),213000,TRY
6707,Konut,Daire,2/24/19,,1,3,5,10-20 arası,Yüksek Giriş,3+1,135,Ankara/Yenimahalle/Turgut Özal,,Kalorifer (Doğalgaz),322000,TRY
6708,Konut,Rezidans,9/11/18,9/11/18,2,0,,,,1+0,,Konya/Meram/Köyceğiz,,Kalorifer (Doğalgaz),400,TRY
6709,Konut,Daire,10/2/18,11/1/18,1,30,0,6,2,2+1,,İstanbul/Esenyurt/Bağlarçeşme,,Kalorifer (Doğalgaz),174000,TRY
6710,Konut,Daire,12/4/18,1/3/19,1,30,0,10-20 arası,9,3+1,160,Adana/Çukurova/Huzurevleri,,Kalorifer (Doğalgaz),279000,TRY
6711,Konut,Daire,11/5/18,,2,114,6-10 arası,6,3,2+1,90,İstanbul/Pendik/Fevzi Çakmak,,Kalorifer (Doğalgaz),1000,TRY
6712,Konut,Daire,11/21/18,,1,98,0,7,,3+1,,İstanbul/Pendik/Sapan Bağları,,Kalorifer (Doğalgaz),510000,TRY
6713,Konut,Daire,2/7/19,,1,20,11-15 arası,5,Bahçe katı,2+1,80,İstanbul/Sultangazi/Esentepe,,Kalorifer (Doğalgaz),190000,TRY
6714,Konut,Villa,12/11/18,,1,78,11-15 arası,2,Komple,3+1,140,Sakarya/Sapanca/Kırkpınar Soğuksu,,Kalorifer (Doğalgaz),588000,TRY
6715,Konut,Daire,10/2/18,11/1/18,1,30,0,6,2,2+1,,İstanbul/Esenyurt/Ardıçlı,,Kalorifer (Doğalgaz),230000,TRY
6716,Konut,Komple Bina,1/12/19,,1,46,21-25 arası,4,,+,90,İstanbul/Bağcılar/Kirazlı,,Kalorifer (Doğalgaz),1300000,TRY
6717,Konut,Daire,11/21/18,1/21/19,1,61,6-10 arası,8,Giriş Katı,2+1,95,Antalya/Muratpaşa/Çağlayan,,Kalorifer (Doğalgaz),320000,TRY
6718,Konut,Daire,11/6/18,12/17/18,1,41,1,3,,2+1,98,Kocaeli/Kartepe/Ertuğrul Gazi,,Kalorifer (Doğalgaz),200000,TRY
6719,Konut,Daire,10/2/18,11/1/18,1,30,0,6,2,2+1,,İstanbul/Esenyurt/Bağlarçeşme,,Kalorifer (Doğalgaz),189000,TRY
6720,Konut,Daire,10/5/18,2/9/19,1,127,0,3,En Üst Kat,3+1,117,Kocaeli/Darıca/Nenehatun,,Kalorifer (Doğalgaz),225000,TRY
6721,Konut,Daire,1/7/19,,1,51,5,10-20 arası,7,3+1,135,İstanbul/Küçükçekmece/Halkalı Merkez,,Kalorifer (Doğalgaz),1125000,TRY
6722,Konut,Daire,1/16/19,,1,42,0,4,,3+1,120,Yalova/Merkez/Bahçelievler,,Kalorifer (Doğalgaz),585000,TRY
